path,size,sha256
.gitignore,145,ecff19776c8df031c027161ec7763c5598131c64a6d76affd560d91afd52b7b2
README.md,1336,925a4b7a038d8f0cb05c6c2529fad20d6cf56c4c1970f85a6afba946c215d99b
data/csv/bank87_0759_0799_xrefs_vol017.csv,6636,ed20777cb6cf9e055160ba54228e29b0e22c2fa7a93ec49f93cfad365fbe3fda
data/csv/key_contexts_vol017.csv,5242,62941d4af9f7d00e42ae287409d8f8fe381160ac9759ae946ff92acd03f9f885
data/csv/macro_9byte_rows_vol017.csv,8022,e41df5e99942231e6a13ac4251b2b4daa3e818904bc674d95c31d29efc8d6b18
data/hexdumps/bank87_vm_reader_candidate.hex.txt,530,0f65bf428b91f8c4bf3430c63fc029c29b51d9639ced5d32dcae3cbcc1bb12f2
data/hexdumps/init_ptr_87e0_a.hex.txt,382,c4d4bfe8bab45a7fd40382fa968ec53a17ed3541f94c52cbda5cfffeeef6789e
data/hexdumps/init_ptr_87e0_b.hex.txt,382,56fe6cf43a6cb0c8027d064ef13dc794ed63005f6c2d4be8044be8bd49f0ff58
data/hexdumps/init_ptr_89e0_a.hex.txt,382,0319cdfdf7a2fe7bf3d7927e2f50e78a6bfc465a1320f89de14998ce043fede7
data/hexdumps/init_ptr_89e0_b.hex.txt,382,79df946f132678f9945cf3e9b78ab0fb375d69144dc0835ba122263888c09e79
data/hexdumps/macro_rows_39850.hex.txt,515,fb10c1599780417da6fed7363996113d37eba961f8266cea39df5ba28fe14dd5
data/hexdumps/position_update.hex.txt,393,90bd71c4a5ed25d73c740fcba8a1dfd037eda0b377777a2fb8417ce14f5b6e2a
data/hexdumps/save_restore_state.hex.txt,496,12fe702b7ce799799ac556c95e003490f48ce9ba193aba7b40d0f25df91b09ed
data/hexdumps/slot_copy_0759.hex.txt,386,717d6d2843ee77a6ee864e0bfdd4e777035d95812d77cca2ebe860ce28193eae
data/hexdumps/slot_init_from_1128.hex.txt,388,d97eeca520d7a6e51708fcc7ba26a4aa1bcaf3e607de9b8a377217f742fa9123
data/hexdumps/state_toggle_0759.hex.txt,390,c208bb9cb4a1efed04a4811027c35bb6e52c0da34b0c0dd5cdb184c7cffc014f
data/hexdumps/vm_blob_f09a.hex.txt,676,cc7b120b27864082ff26642c1a127cf1dfc6c8fd599650f74921695fac516f59
docs/asm/bank87_key_snippets_vol017.asm,871,b0c2d692d78aaa50b30be29675fc4107edb776973af39c4c567c439d08798b88
docs/handover/GOAL_PROGRESS_VOL017_THREAD_DIFF_20260503.csv,1687,1e0b5148e7896da8bd70decfe35603a83289dc38012eeaa86914a479500eccfb
docs/handover/SHINMOMO_VOL017_THREAD_DIFF_HANDOVER_20260503.md,5336,9a6dc01fbb02cba927c9379d8d49b83e2999393db58c8e0e89a7465833eef2f4
docs/notes/NEXT_TASKS_VOL017_20260503.md,1113,abfea9d0c8da5c853e80b561bff15f5df9bc1aefb462c6b476de1645f5e5136e
docs/notes/THREAD_ASSERTION_CONFIDENCE_MAP_20260503.md,2250,09df879003160109d85945525fec2145e684f90c7fe086fd3245972c4c1773b1
docs/reports/bank87_object_slot_0759_0799_reclassification_20260503.md,1091,796175e9c0909984bf4d752eeb97d0ca2203db7970deefeba317a6a3a56a579c
docs/reports/goal13_core_logic_model_20260503.md,1067,37a1ff1b951e928062176e878fd5593803b665f4d7c39522016b7ffa8bb2fe5c
docs/reports/vm_reader_and_f09a_blob_model_20260503.md,1113,0634fb8f017c5e89461590370f06f6d88d2f83eac079acaabb16bbccf084b439
manifest/EXCLUDED_FILES_VOL017_THREAD_DIFF_20260503.csv,218,87030d5416b14d0ec33dc4786d56c07f0a294038025af2a174add0609998f6f8
tools/python/extract_macro_rows.py,1123,570a4bcbe96895d48fdc273d7c10f0c37dc9581e38ec39f1462b4da168385e28
tools/python/find_vm_like_tables.py,1800,764b39333fe668e4eb70ca13d285efb94a9205e5977d13666e2955502d2e4fb6
tools/python/scan_bank87_object_slots.py,1556,c36ddfbb1c09c5233633054a3ce8b95f92bfd2fa6f75ea93e983b1e31fbbb2cd
