stream_id,record_index,record_rom,header_byte,x_start,x_end,width,seg0_bytes_hex,seg1_packed_hex,seg1_unpacked_nibbles_hex,seg2_bytes_hex,seg3_packed_hex,seg3_unpacked_nibbles_hex,candidate_buffer64_hex
1,0,0x1A382D,0x1F,1,15,15,000000000000000000000000000000,0000000000000000,000000000000000,000000000000000000000000000000,0000000000000000,000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,1,0x1A385B,0x1F,1,15,15,00001c3e7f77e3e3e3e3e3777f3e1c,0000008888800000,000000888880000,0000001c2222414141414122221c00,0000000000000000,000000000000000,0000001c3e7f77e3e3e3e3e3777f3e1c00000000000000888888888800000000000000001c2222414141414122221c0000000000000000000000000000000000
1,2,0x1A3889,0x1F,1,15,15,0000040e1e0e0e0e0e0e0e0e0e1f0e,0000000000000000,000000000000000,000000040c04040404040404040e00,0000000000000000,000000000000000,000000040e1e0e0e0e0e0e0e0e0e1f0e0000000000000000000000000000000000000000040c04040404040404040e0000000000000000000000000000000000
1,3,0x1A38B7,0x1F,1,15,15,00001c3e7f230303070e1c387fff7f,0000088800000880,000008880000088,0000001c2201010102040810207f00,0000000000000000,000000000000000,0000001c3e7f230303070e1c387fff7f00000000000088888800000000008888000000001c2201010102040810207f0000000000000000000000000000000000
1,4,0x1A38E5,0x1F,1,15,15,00003c7eff471f3e1f030343ff7e3c,0000000008880000,000000000888000,0000003c4202021c02010101423c00,0000000000000000,000000000000000,0000003c7eff471f3e1f030343ff7e3c00000000000000000000888888000000000000003c4202021c02010101423c0000000000000000000000000000000000
1,5,0x1A3913,0x1F,1,15,15,0000070f1f1f3f7777ffff7f070f07,0000000000800880,000000000080088,000000060a0a122222427f02020700,0000000000000000,000000000000000,000000070f1f1f3f7777ffff7f070f070000000000000000000000880000888800000000060a0a122222427f0202070000000000000000000000000000000000
1,6,0x1A3941,0x1F,1,15,15,00007efffee0fcfeff4303077ffe78,0000000008880000,000000000888000,0000007e4040407c42010101067800,0000000000000000,000000000000000,0000007efffee0fcfeff4303077ffe7800000000000000000000888888000000000000007e4040407c4201010106780000000000000000000000000000000000
1,7,0x1A396F,0x1F,1,15,15,00000c1e3c707cfeffe3e3e37f3e1c,0000000008880000,000000000888000,0000000c1020205c62414141221c00,0000000000000000,000000000000000,0000000c1e3c707cfeffe3e3e37f3e1c00000000000000000000888888000000000000000c1020205c62414141221c0000000000000000000000000000000000
1,8,0x1A399D,0x1F,1,15,15,00007fffff47070e0e0e1c1c1c1c08,0008800000000000,000880000000000,0000007f4102020404040808080800,0000000000000000,000000000000000,0000007fffff47070e0e0e1c1c1c1c0800000000888800000000000000000000000000007f410202040404080808080000000000000000000000000000000000
1,9,0x1A39CB,0x1F,1,15,15,00001c3e7fe3e37f3e7fe3e37f3e1c,0000088000880000,000008800088000,0000001c224141221c224141221c00,0000000000000000,000000000000000,0000001c3e7fe3e37f3e7fe3e37f3e1c00000000000088880000008888000000000000001c224141221c224141221c0000000000000000000000000000000000
1,10,0x1A39F9,0x1F,1,15,15,00001c3e7fe3e3e37f3f1f071e3c18,0000088888000000,000008888800000,0000001c22414141211f0202041800,0000000000000000,000000000000000,0000001c3e7fe3e3e37f3f1f071e3c1800000000000088888888880000000000000000001c22414141211f020204180000000000000000000000000000000000
1,11,0x1A3A27,0x1F,1,15,15,00001e3f7fffff7f2f1e1e0c1e1e0c,00008cc800000000,00008CC80000000,0000001e21717123060c0c000c0c00,0000088000000000,000008800000000,0000001e3f7fffff7f2f1e1e0c1e1e0c000000000088cccc8800000000000000000000001e21717123060c0c000c0c0000000000000088880000000000000000
1,12,0x1A3A55,0x1F,1,15,15,00000c1e1e1e1e1e1e1e0c0c1e1e0c,0000000000000000,000000000000000,0000000c0c0c0c0c0c0c00000c0c00,0000000000000000,000000000000000,0000000c1e1e1e1e1e1e1e0c0c1e1e0c00000000000000000000000000000000000000000c0c0c0c0c0c0c00000c0c0000000000000000000000000000000000
1,13,0x1A3A83,0x1F,1,15,15,000000000000000000000040e07020,0000000000000000,000000000000000,000000000000000000000000402000,0000000000000000,000000000000000,00000000000000000000000040e07020000000000000000000000000000000000000000000000000000000000040200000000000000000000000000000000000
1,14,0x1A3AB1,0x1F,1,15,15,0000000000000000003078fcfc7830,0000000000000000,000000000000000,000000000000000000003048483000,0000000000000000,000000000000000,000000000000000000003078fcfc7830000000000000000000000000000000000000000000000000000000304848300000000000000000000000000000000000
1,15,0x1A3ADF,0x1F,1,15,15,0000000000000066ffff6600000000,00000006ff600000,00000006FF60000,000000000000000066660000000000,0000000066000000,000000006600000,000000000000000066ffff6600000000000000000000000066ffff66000000000000000000000000006666000000000000000000000000000066660000000000
1,16,0x1A3B0D,0x1F,1,15,15,0000000000000060f0f06000000000,0000000000000000,000000000000000,000000000000000060600000000000,0000000000000000,000000000000000,000000000000000060f0f06000000000000000000000000000000000000000000000000000000000006060000000000000000000000000000000000000000000
1,17,0x1A3B3B,0x1F,1,15,15,0000040e0e1f1f3f3f3f7f7fe0e040,0000000888ccee40,0000000888CCEE4,00000004040a0a1111113f20404000,0000000000884400,000000000088440,000000040e0e1f1f3f3f3f7f7fe0e0400000000000000000888888cccceeee440000000004040a0a1111113f2040400000000000000000000000008888444400
1,18,0x1A3B69,0x1F,1,15,15,00007fff7f70707f7f7f70707fff7f,008ce77ece77ec80,008CE77ECE77EC8,0000007f202020203f202020207f00,0008422484224800,000842248422480,0000007fff7f70707f7f7f70707fff7f00000088ccee7777eeccee7777eecc88000000007f202020203f202020207f0000000000884422224488442222448800
1,19,0x1A3B97,0x1F,1,15,15,00001f3f7fe0e0e0e0e0e0e07f3f1f,004eee4004eec800,004EEE4004EEC80,0000001f2040404040404040201f00,0004c40000448000,0004C4000044800,0000001f3f7fe0e0e0e0e0e0e07f3f1f00000044eeeeee44000044eeeecc8800000000001f2040404040404040201f000000000044cc44000000004444880000
1,20,0x1A3BC5,0x1F,1,15,15,00007fff7f707070707070707fff7f,008ce7777777ec80,008CE7777777EC8,0000007f2020202020202020207f00,0008422222224800,000842222222480,0000007fff7f707070707070707fff7f00000088ccee77777777777777eecc88000000007f2020202020202020207f0000000000884422222222222222448800
1,21,0x1A3BF3,0x1F,1,15,15,00007fff7f70707f7f7f70707fff7f,00eff24eee42ffe0,00EFF24EEE42FFE,0000007f202020203f202020207f00,000e2004c4002e00,000E2004C4002E0,0000007fff7f70707f7f7f70707fff7f000000eeffff2244eeeeee4422ffffee000000007f202020203f202020207f0000000000ee22000044cc44000022ee00
1,22,0x1A3C21,0x1F,1,15,15,00007fffffe0e0ffffffe0e0e0e040,00cee48ccc800000,00CEE48CCC80000,0000007f404040407f404040404000,000c400888000000,000C40088800000,0000007fffffe0e0ffffffe0e0e0e040000000cceeee4488cccccc8800000000000000007f404040407f40404040400000000000cc4400008888880000000000
1,23,0x1A3C4F,0x1F,1,15,15,00001f3f7fe0e0e0e7efe7e17f3f1e,004eee40cecccc80,004EEE40CECCCC8,0000001f2040404040474040211e00,0004c4000c888800,0004C4000C88880,0000001f3f7fe0e0e0e7efe7e17f3f1e00000044eeeeee4400cceecccccccc88000000001f2040404040474040211e000000000044cc44000000cc8888888800
1,24,0x1A3C7D,0x1F,1,15,15,000070f97870707f7f7f707070f978,00effeeeeeeeeff0,00EFFEEEEEEEEFF,00000070202020203f202020207000,000e4444c4444e00,000E4444C4444E0,00000070f97870707f7f7f707070f978000000eeffffeeeeeeeeeeeeeeeeffff0000000070202020203f20202020700000000000ee44444444cc44444444ee00
1,25,0x1A3CAB,0x1F,1,15,15,00007cfe7e383838383838387cfe7e,0000000000000000,000000000000000,0000007c1010101010101010107c00,0000000000000000,000000000000000,0000007cfe7e383838383838387cfe7e00000000000000000000000000000000000000007c1010101010101010107c0000000000000000000000000000000000
1,26,0x1A3CD9,0x1F,1,15,15,0000070f070303030343e3e37f3f1e,008c888888888000,008C88888888800,000000070101010101014141221c00,0008000000000000,000800000000000,000000070f070303030343e3e37f3f1e00000088cc888888888888888888000000000000070101010101014141221c0000000000880000000000000000000000
1,27,0x1A3D07,0x1F,1,15,15,000041e3e3e7eefcf8fceeeee7e341,00cec0000000cec0,00CEC0000000CEC,000000414142444850684444424100,000c000000000c00,000C000000000C0,00000041e3e3e7eefcf8fceeeee7e341000000cceecc00000000000000cceecc0000000041414244485068444442410000000000cc000000000000000000cc00
1,28,0x1A3D35,0x1F,1,15,15,000070f870707070707070707fff7f,000000000004eec0,000000000004EEC,000000702020202020202020207f00,0000000000004c00,0000000000004C0,00000070f870707070707070707fff7f00000000000000000000000044eeeecc00000000702020202020202020207f000000000000000000000000000044cc00
1,29,0x1A3D63,0x1F,1,15,15,000070f87d7d7d7f7f7f777777fa70,006fffffff777f60,006FFFFFFF777F6,000000702828282525252222227000,0006aaa222222600,0006AAA22222260,00000070f87d7d7d7f7f7f777777fa7000000066ffffffffffffff777777ff66000000007028282825252522222270000000000066aaaaaa2222222222226600
1,30,0x1A3D91,0x1F,1,15,15,000070f87c7c7e7e7777737371f060,006feeeeeeeeee40,006FEEEEEEEEEE4,000000702828242422222121206000,000644444444c400,000644444444C40,00000070f87c7c7e7e7777737371f06000000066ffeeeeeeeeeeeeeeeeeeee440000000070282824242222212120600000000000664444444444444444cc4400
1,31,0x1A3DBF,0x1F,1,15,15,00001f3f7fe0e0e0e0e0e0e07f3f1f,0008ceeeeeeec800,0008CEEEEEEEC80,0000001f2040404040404040201f00,0000844444448000,000084444444800,0000001f3f7fe0e0e0e0e0e0e07f3f1f0000000088cceeeeeeeeeeeeeecc8800000000001f2040404040404040201f0000000000008844444444444444880000
1,32,0x1A3DED,0x1F,1,15,15,00007fff7f70707f7f7f707070f870,0008ceec80000000,0008CEEC8000000,0000007f202020203f202020207000,0000844800000000,000084480000000,0000007fff7f70707f7f7f707070f8700000000088cceeeecc88000000000000000000007f202020203f20202020700000000000008844448800000000000000
1,33,0x1A3E1B,0x1F,1,15,15,00001f3f7fe0e0e0e0eeffff7f3f1f,0008ceeeeeeece40,0008CEEEEEEECE4,0000001f2040404040404e51201f00,0000844444448400,000084444444840,0000001f3f7fe0e0e0e0eeffff7f3f1f0000000088cceeeeeeeeeeeeeeccee44000000001f2040404040404e51201f0000000000008844444444444444884400
1,34,0x1A3E49,0x1F,1,15,15,00007fff7f70707f7f7f777371f060,0008ceec8008ce40,0008CEEC8008CE4,0000007f202020203f242221206000,0000844800008400,000084480000840,0000007fff7f70707f7f7f777371f0600000000088cceeeecc88000088ccee44000000007f202020203f24222120600000000000008844448800000000884400
1,35,0x1A3E77,0x1F,1,15,15,00001f3f7fe0e07f3f1f40e0ffff5f,004eee408ceeec00,004EEE408CEEEC0,0000001f204040201f000040605f00,0004c40008448000,0004C4000844800,0000001f3f7fe0e07f3f1f40e0ffff5f00000044eeeeee440088cceeeeeecc00000000001f204040201f000040605f000000000044cc44000000884444880000
